,Unnamed: 0,Song_Name,Key,Capo,Chord,BPM,Freq_map
295,155,Fight Song Chords,G,no capo,"['G', 'Em', 'Cadd9', 'G/B', 'D', 'Em7']",88 bpm,"{'C': 17, 'Am': 5, 'Fadd9': 17, 'C/E': 4, 'G': 14, 'Am7': 11}"
296,16,To Be So Lonely Chords,G,no capo,"['C', 'Am', 'G', 'Em', 'Fmaj7', 'D5']",105 bpm,"{'F': 10, 'Dm': 19, 'C': 10, 'Am': 10, 'A#maj7': 11, 'G5': 1}"
297,369,Frozen - Let It Go Chords,G,1st fret,"['Em', 'C', 'D', 'Asus4', 'Am', 'A', 'Cadd9', 'G', 'D/F#', 'Em7', 'Bm7', 'A#', 'Cm']",68 bpm,"{'A#m': 7, 'F#': 13, 'G#': 12, 'D#sus4': 4, 'D#m': 4, 'D#': 3, 'F#add9': 12, 'C#': 10, 'G#/C': 10, 'A#m7': 9, 'Fm7': 3, 'E': 3, 'F#m': 1}"
298,361,Father And Son Chords,G,no capo,"['G', 'D/F#', 'C', 'Am7', 'Em', 'Am', 'D', 'C/G', 'Bm', 'G/D']",67 bpm,"{'C': 31, 'G/B': 2, 'F': 15, 'Dm7': 19, 'Am': 12, 'Dm': 10, 'G': 21, 'F/C': 2, 'Em': 4, 'C/G': 1}"
299,172,Something Just Like This Chords,G,no capo,"['G', 'A', 'Bm', 'D/F#', 'Bsus4', 'D', 'Dmaj7']",103 bpm,"{'C': 56, 'D': 95, 'Em': 54, 'G/B': 7, 'Esus4': 2, 'G': 3, 'Gmaj7': 8}"
300,241,Santa Tell Me Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Bm', 'D#', 'F#m']",NF,"{'C': 26, 'F': 25, 'Am': 14, 'G': 16, 'Em': 2, 'G#': 1, 'Bm': 1}"
301,34,Something Just Like This Chords,G,no capo,"['G', 'A', 'Bm', 'D/F#', 'Bsus4', 'D', 'Dmaj7']",103 bpm,"{'C': 56, 'D': 95, 'Em': 54, 'G/B': 7, 'Esus4': 2, 'G': 3, 'Gmaj7': 8}"
302,191,All I Want For Christmas Is You Chords,G,no capo,"['G', 'Em', 'C', 'D', 'G/B', 'Cm/D#', 'B7', 'G/D', 'E7', 'Am7', 'Cm6/D', 'D#6', 'Cm6/D#', 'Am7/D']",150 bpm,"{'C': 19, 'Am': 16, 'F': 8, 'G': 11, 'C/E': 2, 'Fm/G#': 2, 'E7': 6, 'C/G': 5, 'A7': 5, 'Dm7': 13, 'Fm6/G': 2, 'G#6': 9, 'Fm6/G#': 2, 'Dm7/G': 1}"
303,145,I Gotta Feeling Chords,G,no capo,"['G', 'C', 'Em', 'Gsus4', 'Csus2', 'Em7', 'G6/B', 'C/B']",128 bpm,"{'C': 25, 'F': 42, 'Am': 21, 'Csus4': 3, 'Fsus2': 3, 'Am7': 3, 'C6/E': 1, 'F/E': 1}"
304,284,A Day In The Life Chords,G,no capo,"['G', 'Bm', 'Em', 'Em7', 'C', 'C/B', 'Asus2', 'F', 'Em/F#', 'Em/G', 'Em/A', 'Em/B', 'Em/C#', 'Em/D', 'E', 'Dsus2', 'B7sus4', 'D', 'A', 'Em/C']",78 bpm,"{'C': 11, 'Em': 9, 'Am': 16, 'Am7': 13, 'F': 18, 'F/E': 4, 'Dsus2': 4, 'A#': 5, 'Am/B': 2, 'Am/C': 2, 'Am/D': 2, 'Am/E': 2, 'Am/F#': 1, 'Am/G': 2, 'A': 9, 'Gsus2': 2, 'E7sus4': 4, 'G': 4, 'D': 2, 'Am/F': 1}"
305,384,Joy To The World Chords,G,no capo,"['G', 'D', 'C']",100 bpm,"{'C': 28, 'G': 16, 'F': 8}"
306,39,How Would You Feel Paean Chords,G,2nd fret,"['G', 'Bm7', 'C', 'Bm', 'Em', 'A7', 'D', 'Am']",70 bpm,"{'D': 32, 'F#m7': 32, 'G': 32, 'F#m': 4, 'Bm': 4, 'E7': 4, 'A': 7, 'Em': 4}"
307,11,Little Things Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Am']",110 bpm,"{'C': 18, 'F': 30, 'Am': 15, 'G': 22, 'Dm': 12}"
308,239,The 30Th Chords,G,no capo,"['G', 'D', 'Em', 'Am', 'C', 'Cm', 'B7']",72 bpm,"{'C': 24, 'G': 17, 'Am': 23, 'Dm': 8, 'F': 12, 'Fm': 3, 'E7': 7}"
309,343,Creep Chords,G,no capo,"['G', 'B', 'C', 'Cm']",92 bpm,"{'C': 12, 'E': 11, 'F': 11, 'Fm': 13}"
310,261,If I Aint Got You Chords,G,no capo,"['Cmaj7', 'Bm7', 'Am7', 'Gmaj7', 'A#m7', 'G#maj7', 'Em7', 'D9', 'G#dim7', 'Cmaj9', 'C#maj7', 'D']",118 bpm,"{'Fmaj7': 7, 'Em7': 24, 'Dm7': 34, 'Cmaj7': 28, 'D#m7': 5, 'C#maj7': 4, 'Am7': 2, 'G9': 4, 'C#dim7': 2, 'Fmaj9': 5, 'F#maj7': 2, 'G': 1}"
311,314,Jingle Bells Chords,G,no capo,"['G', 'C', 'Am', 'D7', 'D', 'A7']",104 bpm,"{'C': 43, 'F': 24, 'Dm': 8, 'G7': 20, 'G': 4, 'D7': 4}"
312,206,Father And Son Chords,G,no capo,"['G', 'D/F#', 'C', 'Am7', 'Em', 'Am', 'D', 'C/G', 'Bm', 'G/D']",67 bpm,"{'C': 31, 'G/B': 2, 'F': 15, 'Dm7': 19, 'Am': 12, 'Dm': 10, 'G': 21, 'F/C': 2, 'Em': 4, 'C/G': 1}"
313,305,Thank You Chords,G#m,4th fret,"['D/F#', 'G/B', 'Em', 'C', 'D', 'G', 'Em/B', 'Bm', 'Am']",80 bpm,"{'G/B': 7, 'C/E': 13, 'Am': 10, 'F': 27, 'G': 6, 'C': 21, 'Am/E': 2, 'Em': 5, 'Dm': 5}"
314,43,Tenerife Sea Chords,F#,4th fret,"['E', 'F#m', 'A', 'B', 'C#m']",120 bpm,"{'D': 38, 'Em': 28, 'G': 43, 'A': 16, 'Bm': 7}"
315,166,7 Years Chords,Gm,3rd fret,"['Em', 'G', 'C', 'D', 'G/B', 'Bsus4', 'B']",NF,"{'Am': 29, 'C': 25, 'F': 29, 'G': 39, 'C/E': 3, 'Esus4': 1, 'E': 1}"
316,160,YounF#lood Chords,Gm,3rd fret,"['Em', 'D', 'G', 'C']",120 bpm,"{'Am': 26, 'G': 42, 'C': 22, 'F': 25}"
317,65,Havana Chords,Gm,3rd fret,"['Em', 'C', 'B7']",105 bpm,"{'Am': 48, 'F': 44, 'E7': 46}"
