,Unnamed: 0.1,Unnamed: 0,Song_Name,Key,Capo,Chord,BPM,Freq_map
23,41,171,Him And I Chords,Am,no capo,"['Am', 'G', 'Dm', 'F']",88 bpm,"{'Am': 22, 'G': 24, 'Dm': 24, 'F': 16}"
24,43,385,Snap Chords,Am,no capo,"['Am', 'F', 'C', 'G', 'G']",85 bpm,"{'Am': 25, 'F': 29, 'C': 27, 'G': 11, 'G': 18}"
25,44,150,Let Me Down Slowly Chords,G#m,4th fret,"['Am', 'G', 'Em', 'F']",75 bpm,"{'Am': 27, 'G': 27, 'Em': 27, 'F': 27}"
26,52,325,Afterglow Chords,B,4th fret,"['G', 'Cadd9', 'Dsus4', 'Em7']",110 bpm,"{'C': 17, 'Fadd9': 22, 'Gsus4': 16, 'Am7': 5}"
27,53,9,Permission Chords,B,no capo,"['F#', 'G#m', 'E', 'B', 'G#']",NF,"{'G': 21, 'Am': 19, 'F': 20, 'C': 18, 'A': 1}"
28,54,211,A Thousand Years Chords,A#,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']",139 bpm,"{'C': 12, 'Am7': 17, 'Fadd9': 14, 'G': 21, 'Dm': 4}"
29,55,158,The Greatest Showman - Rewrite The Stars Chords,A#,3rd fret,"['G', 'C', 'D/F#', 'Em', 'D', 'Bm']",125 bpm,"{'C': 28, 'F': 23, 'G': 17, 'Am': 18, 'G': 1, 'Em': 1}"
30,58,153,A Thousand Years Chords,A#,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']",139 bpm,"{'C': 12, 'Am7': 17, 'Fadd9': 14, 'G': 21, 'Dm': 4}"
31,59,367,A Thousand Years Chords,A#,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']",139 bpm,"{'C': 12, 'Am7': 17, 'Fadd9': 14, 'G': 21, 'Dm': 4}"
32,60,69,10000 Hours Chords,A#,3rd fret,"['G', 'Bm', 'G', 'Em', 'C']",90 bpm,"{'C': 59, 'Em': 3, 'C': 6, 'Am': 24, 'F': 34}"
33,65,83,Stitches Chords,A#m,1st fret,"['Am', 'G', 'C', 'F']",150 bpm,"{'Am': 30, 'G': 32, 'C': 26, 'F': 29}"
34,66,344,Riptide Chords,A#m,1st fret,"['Am', 'G', 'C', 'Fmaj7']",102 bpm,"{'Am': 39, 'G': 39, 'C': 40, 'Fmaj7': 2}"
35,67,90,Treat You Better Chords,A#m,1st fret,"['Am', 'G', 'F', 'C']",83 bpm,"{'Am': 30, 'G': 30, 'F': 30, 'C': 19}"
36,68,251,Stitches Chords,A#m,1st fret,"['Am', 'G', 'C', 'F']",150 bpm,"{'Am': 30, 'G': 32, 'C': 26, 'F': 29}"
37,69,229,Dandelions Chords,A#m,6th fret,"['C', 'Em', 'G', 'D']",78 bpm,"{'F': 36, 'Am': 35, 'C': 35, 'G': 35}"
38,70,81,Whatever It Takes Chords,A#m,1st fret,"['Am', 'G', 'Em', 'D', 'F', 'C']",68 bpm,"{'Am': 24, 'G': 27, 'Em': 15, 'D': 4, 'F': 12, 'C': 12}"
39,73,187,Riptide Chords,A#m,1st fret,"['Am', 'G', 'C', 'Fmaj7']",102 bpm,"{'Am': 39, 'G': 39, 'C': 40, 'Fmaj7': 2}"
40,74,383,Dandelions Chords,A#m,6th fret,"['C', 'Em', 'G', 'D']",78 bpm,"{'F': 36, 'Am': 35, 'C': 35, 'G': 35}"
41,76,254,Home Chords,Bm,no capo,"['Bm', 'D', 'D/F#', 'G', 'Em', 'A']",112 bpm,"{'Am': 25, 'C': 53, 'C': 21, 'F': 27, 'Dm': 6, 'G': 8}"
42,80,321,Home Chords,Bm,2nd fret,"['Am', 'C', 'C', 'F', 'Dm', 'G']",112 bpm,"{'Am': 24, 'C': 49, 'C': 20, 'F': 25, 'Dm': 8, 'G': 8}"
43,82,71,Shivers Chords,Bm,2nd fret,"['F', 'Am', 'C', 'G']",141 bpm,"{'F': 16, 'Am': 15, 'C': 15, 'G': 16}"
44,83,337,Wicked Game Chords,Bm,no capo,"['Bm', 'A', 'E']",112 bpm,"{'Am': 20, 'G': 20, 'D': 20}"
45,84,335,Wicked Game Chords,Bm,no capo,"['Bm', 'A', 'E']",112 bpm,"{'Am': 20, 'G': 20, 'D': 20}"
46,88,163,All I Want Chords,C,no capo,"['C', 'F', 'G', 'Am', 'G', 'Dm']",125 bpm,"{'C': 36, 'F': 23, 'G': 6, 'Am': 14, 'G': 13, 'Dm': 2}"
