name,author_name,scale,bpm
Under The Bridge,Bon Iver,A,170
Ill Be Home For Christmas,St. Vincent,G#,113
Bigger Than The Whole Sky,Labrinth,B,145
Supermarket Flowers,Red Hot Chili Peppers,F#,90
Be Alright,Bing Crosby,D#,104
Bad Habit,Taylor Swift,Bm,126
Away In A Manger,Ed Sheeran,E,123
Dancing In The Dark,Dean Lewis,G,139
Isnt She Lovely,Steve Lacy,G#,116
Havana,Misc Christmas,Am,123
Ceilings,Bruce Springsteen,E,128
I Wont Back Down,Stevie Wonder,D#,113
Let It Go,Camila Cabello,G,140
Ghost,Young Thug,G#,158
Ho Hey,Lizzy McAlpine,B,170
Little Drummer Boy,Misc Christmas,D,104
Fake Plastic Trees,Radiohead,D,74
Toxic,Britney Spears,G#,143
No Time To Die,Billie Eilish,Em,74
Shake The Frost,Tyler Childers,D,139
Paint It Black,The Rolling Stones,C#,159
First Day Of My Life,Bright Eyes,C#m,95
Too Good At Goodbyes,Sam Smith,F,92
Unchained Melody,Elvis Presley,C,79
Please Come Home For Christmas,Eagles,A,92
Desperado,Eagles,G,140
Jar Of Hearts,Christina Perri,D#,75
The River,Bruce Springsteen,G,117
Tangled - I See The Light,Misc Cartoons,F,87
Hark The Herald Angels Sing,Mandy Moore,E,117
The Greatest Showman - Never Enough,Misc Christmas,G#,87
O Come All Ye Faithful,Misc Soundtrack,G,111
Fake Plastic Trees,Loren Allred,C,150
Youre Still The One,Misc Christmas,C#,134
About A Girl,Radiohead,D#m,121
Cleopatra,Shania Twain,A#,125
Hello,Nirvana,G,52
Here There And Everywhere,The Lumineers,F,76
Hotel California,Adele,D,75
I Love You So,The Beatles,G,103
Between The Bars,Eagles,Gm,135
Enchanted,The Walters,Dm,115
The First Noel,Elliott Smith,D#,91
Free Bird,Taylor Swift,F#,131
La Vie En Rose,Misc Christmas,F,150
Come Together,Lynyrd Skynyrd,C,118
Life On Mars,Louis Armstrong,A#,123
Halo,The Beatles,Bm,94
Under The Influence,David Bowie,F,100
21 Guns,Beyoncé,F,160
Bejeweled,Chris Brown,Fm,128
Wheres My Love,Green Day,D#,104
A Day In The Life,Taylor Swift,Em,79
My Way,SYML,F#m,150
And I Love Her,The Beatles,C#m,118
Time,Frank Sinatra,A,88
Simple Man,The Beatles,A,79
Betty,Pink Floyd,E,71
Slow Dancing In A Burning Room,Lynyrd Skynyrd,C#m,134
Home,Taylor Swift,F,125
Angels,John Mayer,E,75
Banana Pancakes,Edward Sharpe and the Magnetic Zeros,D,112
Nothing Compares 2 U,Robbie Williams,E,150
God Rest Ye Merry Gentlemen,Jack Johnson,C#m,136
Grease - Hopelessly Devoted To You,Chris Cornell,Bm,111
My Way,Frank Sinatra,C,90
Mardy Bum,Arctic Monkeys,D,112
All The Small Things,Blink-182,C,149
The Gambler,Kenny Rogers,D#,90
Somebody To Love,Queen,G#,112
Dont Dream Its Over,Crowded House,G#,82
Youre Beautiful,James Blunt,Cm,82
Mr Jones,Counting Crows,C,142
O Come To The Altar,Elevation Worship,B,140
Brazil,Declan McKenna,E,121
Take Me To Church,Hozier,Em,129
Gravity,John Mayer,G,124
Dont Speak,No Doubt,Fm,77
I Want To Hold Your Hand,The Beatles,G,131
