name,author_name,scale_x,bpm_x,scale_y,capo,chords,bpm_y,new_scale,new_bpm,Freq_map
Chasing Cars,Snow Patrol,A,104,A,no capo,"['A', 'E/G#', 'D', 'Dsus2', 'Dmaj7']",104 bpm,A,104 bpm,"{'C': 30, 'G/B': 15, 'F': 7, 'Fsus2': 1, 'Fmaj7': 8}"
Wake Me Up,Avicii,D,124,Bm,no capo,"['Bm', 'G', 'D', 'A', 'F#']",124 bpm,D,124 bpm,"{'Am': 38, 'F': 38, 'C': 38, 'G': 38, 'E': 1}"
Blowin In The Wind,Bob Dylan,D,175,D,7th fret,"['G', 'C', 'D']",175 bpm,D,175 bpm,"{'C': 36, 'F': 33, 'G': 24}"
Fast Car,Tracy Chapman,A,102,D,2nd fret,"['Cmaj7', 'G', 'Em', 'D', 'C']",NF,A,102,"{'Fmaj7': 36, 'C': 39, 'Am': 59, 'G': 41, 'F': 24}"
Forget Me,Lewis Capaldi,C#m,102,B,4th fret,"['F', 'Am', 'G', 'Dm']",102 bpm,C#m,102 bpm,"{'F': 18, 'Am': 23, 'G': 25, 'Dm': 3}"
Brown Eyed Girl,Van Morrison,G,146,G,no capo,"['G', 'C', 'D', 'Em', 'D7']",151 bpm,G,151 bpm,"{'C': 49, 'F': 27, 'G': 27, 'Am': 3, 'G7': 3}"
Counting Stars,OneRepublic,F,137,Am,4th fret,"['Am', 'C', 'G', 'F', 'Dm']",122 bpm,F,122 bpm,"{'G#m': 28, 'B': 27, 'F#': 27, 'E': 33, 'C#m': 1}"
In The Stars,Benson Boone,A#,78,A#,3rd fret,"['G', 'D', 'Em', 'Bm', 'Am', 'C', 'B7', 'Cm']",78 bpm,A#,78 bpm,"{'C': 27, 'G': 15, 'Am': 21, 'Em': 10, 'Dm': 4, 'F': 12, 'E7': 3, 'Fm': 3}"
Dancing On My Own,Calum Scott,C#,113,C,1st fret,"['C', 'G', 'F', 'Am']",110 bpm,C#,110 bpm,"{'C': 18, 'G': 29, 'F': 30, 'Am': 14}"
Wonderful Tonight,Eric Clapton,G,93,G,no capo,"['G', 'D/F#', 'C', 'D', 'Em']",96 bpm,G,96 bpm,"{'C': 21, 'G/B': 17, 'F': 21, 'G': 21, 'Am': 7}"
Snap,Robert Lopez,C#,144,Am,no capo,"['Am', 'F', 'C', 'G', 'G/B']",85 bpm,C#,85 bpm,"{'G#m': 25, 'E': 29, 'B': 27, 'F#': 11, 'F#/A#': 18}"
A Horse With No Name,Rosa Linn,Bm,100,Em,no capo,"['Em', 'D6/9', 'Em9', 'Dmaj9']",123 bpm,Bm,123 bpm,"{'Dm': 24, 'C6/9': 24, 'Dm9': 24, 'Cmaj9': 24}"
Happy Birthday,Eric Clapton,G,137,C#,1st fret,"['C', 'G7', 'F']",90 bpm,G,90 bpm,"{'F#': 5, 'C#7': 3, 'B': 1}"
Goodness Of God,Lynyrd Skynyrd,A,145,G,1st fret,"['G', 'Gsus4', 'C', 'D/F#', 'Em', 'D', 'G/B']",NF,A,145,"{'B': 50, 'Bsus4': 2, 'E': 51, 'F#/A#': 9, 'G#m': 16, 'F#': 35, 'B/D#': 14}"
Folsom Prison Blues,Sam Smith,C,111,E,1st fret,"['E', 'E7', 'A', 'B7']",200 bpm,C,200 bpm,"{'F': 22, 'F7': 8, 'A#': 8, 'C7': 8}"
Dreams,Johnny Cash,A,174,F,no capo,"['Fmaj7', 'F', 'G', 'G6', 'Am']",120 bpm,A,120 bpm,"{'G#maj7': 30, 'G#': 33, 'A#': 49, 'A#6': 13, 'Cm': 1}"
Joy To The World,The Beatles,E,144,G,no capo,"['G', 'D', 'C']",100 bpm,E,100 bpm,"{'D#': 28, 'A#': 16, 'G#': 8}"
Santa Claus Is Coming To Town,Misc Christmas,G,82,G,no capo,"['G', 'C', 'Em', 'Am7', 'D7', 'G7', 'A7', 'D']",140 bpm,G,140 bpm,"{'C': 14, 'F': 8, 'Am': 4, 'Dm7': 4, 'G7': 4, 'C7': 2, 'D7': 2, 'G': 2}"
You Are The Reason,Calum Scott,A#,172,A#,3rd fret,"['G', 'Em', 'C', 'D', 'Cm']",57 bpm,A#,57 bpm,"{'C': 18, 'Am': 13, 'F': 17, 'G': 24, 'Fm': 3}"
Leaving On A Jet Plane,John Denver,G,121,G,no capo,"['D', 'G', 'C']",133 bpm,G,133 bpm,"{'G': 13, 'C': 36, 'F': 36}"
